,text,clean_text,Tweet_tokenized,Tweet_without_stop,Tweet_stemmed,Tweet_lemmatized
0,"@ScallyNancy So think about who is bringing in record-breaking support for ever more gas consumption in order to burn our planet even faster?

#GOPclimateKiller #California #Florida #US #USA #Midterms #Midterms2022 #GeneralElection #EcoTax #SaveThePlanet #ClimateChange #ClimateCrisis","ScallyNancy So think about who is bringing in recordbreaking support for ever more gas consumption in order to burn our planet even faster

GOPclimateKiller California Florida US USA Midterms Midterms GeneralElection EcoTax SaveThePlanet ClimateChange ClimateCrisis","['scallynancy', 'so', 'think', 'about', 'who', 'is', 'bringing', 'in', 'recordbreaking', 'support', 'for', 'ever', 'more', 'gas', 'consumption', 'in', 'order', 'to', 'burn', 'our', 'planet', 'even', 'faster', 'gopclimatekiller', 'california', 'florida', 'us', 'usa', 'midterms', 'midterms', 'generalelection', 'ecotax', 'savetheplanet', 'climatechange', 'climatecrisis']","['scallynancy', 'think', 'bringing', 'recordbreaking', 'support', 'ever', 'gas', 'consumption', 'order', 'burn', 'planet', 'even', 'faster', 'gopclimatekiller', 'california', 'florida', 'us', 'usa', 'midterms', 'midterms', 'generalelection', 'ecotax', 'savetheplanet', 'climatechange', 'climatecrisis']","['scallyn', 'think', 'bring', 'recordbreak', 'support', 'ever', 'ga', 'consumpt', 'order', 'burn', 'planet', 'even', 'faster', 'gopclimatekil', 'california', 'florida', 'us', 'usa', 'midterm', 'midterm', 'generalelect', 'ecotax', 'savetheplanet', 'climatechang', 'climatecrisi']","['scallynancy', 'think', 'bringing', 'recordbreaking', 'support', 'ever', 'gas', 'consumption', 'order', 'burn', 'planet', 'even', 'faster', 'gopclimatekiller', 'california', 'florida', 'u', 'usa', 'midterm', 'midterm', 'generalelection', 'ecotax', 'savetheplanet', 'climatechange', 'climatecrisis']"
1,RT @luluonti: #Agroecology  #Agroecologia  #organicfarming  #organicfood   #savetheplanet,RT luluonti Agroecology  Agroecologia  organicfarming  organicfood   savetheplanet,"['rt', 'luluonti', 'agroecology', 'agroecologia', 'organicfarming', 'organicfood', 'savetheplanet']","['rt', 'luluonti', 'agroecology', 'agroecologia', 'organicfarming', 'organicfood', 'savetheplanet']","['rt', 'luluonti', 'agroecolog', 'agroecologia', 'organicfarm', 'organicfood', 'savetheplanet']","['rt', 'luluonti', 'agroecology', 'agroecologia', 'organicfarming', 'organicfood', 'savetheplanet']"
2,"RT @aliceyadavis: what about digital livestock can weaken deforestation

Can a cow NFT be worth more than a real cow?

#NFTs #savetheplanet…","RT aliceyadavis what about digital livestock can weaken deforestation

Can a cow NFT be worth more than a real cow

NFTs savetheplanet…","['rt', 'aliceyadavis', 'what', 'about', 'digital', 'livestock', 'can', 'weaken', 'deforestation', 'can', 'a', 'cow', 'nft', 'be', 'worth', 'more', 'than', 'a', 'real', 'cow', 'nfts', 'savetheplanet', '']","['rt', 'aliceyadavis', 'digital', 'livestock', 'weaken', 'deforestation', 'cow', 'nft', 'worth', 'real', 'cow', 'nfts', 'savetheplanet', '']","['rt', 'aliceyadavi', 'digit', 'livestock', 'weaken', 'deforest', 'cow', 'nft', 'worth', 'real', 'cow', 'nft', 'savetheplanet', '']","['rt', 'aliceyadavis', 'digital', 'livestock', 'weaken', 'deforestation', 'cow', 'nft', 'worth', 'real', 'cow', 'nfts', 'savetheplanet', '']"
3,RT @elagoradiario: El #CambioClimático es una realidad y por ello es necesario cuidar del 🌍 y reflexionar sobre su poder para cambiar de ru…,RT elagoradiario El CambioClimático es una realidad y por ello es necesario cuidar del 🌍 y reflexionar sobre su poder para cambiar de ru…,"['rt', 'elagoradiario', 'el', 'cambioclimático', 'es', 'una', 'realidad', 'y', 'por', 'ello', 'es', 'necesario', 'cuidar', 'del', 'y', 'reflexionar', 'sobre', 'su', 'poder', 'para', 'cambiar', 'de', 'ru', '']","['rt', 'elagoradiario', 'el', 'cambioclimático', 'es', 'una', 'realidad', 'por', 'ello', 'es', 'necesario', 'cuidar', 'del', 'reflexionar', 'sobre', 'su', 'poder', 'para', 'cambiar', 'de', 'ru', '']","['rt', 'elagoradiario', 'el', 'cambioclimático', 'es', 'una', 'realidad', 'por', 'ello', 'es', 'necesario', 'cuidar', 'del', 'reflexionar', 'sobr', 'su', 'poder', 'para', 'cambiar', 'de', 'ru', '']","['rt', 'elagoradiario', 'el', 'cambioclimático', 'e', 'una', 'realidad', 'por', 'ello', 'e', 'necesario', 'cuidar', 'del', 'reflexionar', 'sobre', 'su', 'poder', 'para', 'cambiar', 'de', 'ru', '']"
4,#Agroecology  #Agroecologia  #organicfarming  #organicfood   #savetheplanet https://t.co/SDomkXhssp,Agroecology  Agroecologia  organicfarming  organicfood   savetheplanet httpstcoSDomkXhssp,"['agroecology', 'agroecologia', 'organicfarming', 'organicfood', 'savetheplanet', 'httpstcosdomkxhssp']","['agroecology', 'agroecologia', 'organicfarming', 'organicfood', 'savetheplanet', 'httpstcosdomkxhssp']","['agroecolog', 'agroecologia', 'organicfarm', 'organicfood', 'savetheplanet', 'httpstcosdomkxhssp']","['agroecology', 'agroecologia', 'organicfarming', 'organicfood', 'savetheplanet', 'httpstcosdomkxhssp']"
5,@teamveganfta We must rewild and stop planet disastrous animal agriculture from wreaking anymore destruction on our wildlife and animals #rewilding #veganworld #savetheplanet 🌏,teamveganfta We must rewild and stop planet disastrous animal agriculture from wreaking anymore destruction on our wildlife and animals rewilding veganworld savetheplanet 🌏,"['teamveganfta', 'we', 'must', 'rewild', 'and', 'stop', 'planet', 'disastrous', 'animal', 'agriculture', 'from', 'wreaking', 'anymore', 'destruction', 'on', 'our', 'wildlife', 'and', 'animals', 'rewilding', 'veganworld', 'savetheplanet', '']","['teamveganfta', 'must', 'rewild', 'stop', 'planet', 'disastrous', 'animal', 'agriculture', 'wreaking', 'anymore', 'destruction', 'wildlife', 'animals', 'rewilding', 'veganworld', 'savetheplanet', '']","['teamveganfta', 'must', 'rewild', 'stop', 'planet', 'disastr', 'anim', 'agricultur', 'wreak', 'anymor', 'destruct', 'wildlif', 'anim', 'rewild', 'veganworld', 'savetheplanet', '']","['teamveganfta', 'must', 'rewild', 'stop', 'planet', 'disastrous', 'animal', 'agriculture', 'wreaking', 'anymore', 'destruction', 'wildlife', 'animal', 'rewilding', 'veganworld', 'savetheplanet', '']"
6,"ビーガン：自分の本性に目覚めたから

#ビーガン #ヴィーガン #素食 #平和 #持続可能性 #菜食 #エシカル #プラントベース #クルエルティフリー #肉 #非暴力 #今日の言葉 #動物大好き #動物虐待反対 #純素 #優しさ #vegan #ahimsa #animals #savetheplanet #WorldVegan #WorldPeace https://t.co/TEGJnOkLPc","ビーガン：自分の本性に目覚めたから

ビーガン ヴィーガン 素食 平和 持続可能性 菜食 エシカル プラントベース クルエルティフリー 肉 非暴力 今日の言葉 動物大好き 動物虐待反対 純素 優しさ vegan ahimsa animals savetheplanet WorldVegan WorldPeace httpstcoTEGJnOkLPc","['ビーガン', '自分の本性に目覚めたから', 'ビーガン', 'ヴィーガン', '素食', '平和', '持続可能性', '菜食', 'エシカル', 'プラントベース', 'クルエルティフリー', '肉', '非暴力', '今日の言葉', '動物大好き', '動物虐待反対', '純素', '優しさ', 'vegan', 'ahimsa', 'animals', 'savetheplanet', 'worldvegan', 'worldpeace', 'httpstcotegjnoklpc']","['ビーガン', '自分の本性に目覚めたから', 'ビーガン', 'ヴィーガン', '素食', '平和', '持続可能性', '菜食', 'エシカル', 'プラントベース', 'クルエルティフリー', '肉', '非暴力', '今日の言葉', '動物大好き', '動物虐待反対', '純素', '優しさ', 'vegan', 'ahimsa', 'animals', 'savetheplanet', 'worldvegan', 'worldpeace', 'httpstcotegjnoklpc']","['ビーガン', '自分の本性に目覚めたから', 'ビーガン', 'ヴィーガン', '素食', '平和', '持続可能性', '菜食', 'エシカル', 'プラントベース', 'クルエルティフリー', '肉', '非暴力', '今日の言葉', '動物大好き', '動物虐待反対', '純素', '優しさ', 'vegan', 'ahimsa', 'anim', 'savetheplanet', 'worldvegan', 'worldpeac', 'httpstcotegjnoklpc']","['ビーガン', '自分の本性に目覚めたから', 'ビーガン', 'ヴィーガン', '素食', '平和', '持続可能性', '菜食', 'エシカル', 'プラントベース', 'クルエルティフリー', '肉', '非暴力', '今日の言葉', '動物大好き', '動物虐待反対', '純素', '優しさ', 'vegan', 'ahimsa', 'animal', 'savetheplanet', 'worldvegan', 'worldpeace', 'httpstcotegjnoklpc']"
7,RT @elagoradiario: El #CambioClimático es una realidad y por ello es necesario cuidar del 🌍 y reflexionar sobre su poder para cambiar de ru…,RT elagoradiario El CambioClimático es una realidad y por ello es necesario cuidar del 🌍 y reflexionar sobre su poder para cambiar de ru…,"['rt', 'elagoradiario', 'el', 'cambioclimático', 'es', 'una', 'realidad', 'y', 'por', 'ello', 'es', 'necesario', 'cuidar', 'del', 'y', 'reflexionar', 'sobre', 'su', 'poder', 'para', 'cambiar', 'de', 'ru', '']","['rt', 'elagoradiario', 'el', 'cambioclimático', 'es', 'una', 'realidad', 'por', 'ello', 'es', 'necesario', 'cuidar', 'del', 'reflexionar', 'sobre', 'su', 'poder', 'para', 'cambiar', 'de', 'ru', '']","['rt', 'elagoradiario', 'el', 'cambioclimático', 'es', 'una', 'realidad', 'por', 'ello', 'es', 'necesario', 'cuidar', 'del', 'reflexionar', 'sobr', 'su', 'poder', 'para', 'cambiar', 'de', 'ru', '']","['rt', 'elagoradiario', 'el', 'cambioclimático', 'e', 'una', 'realidad', 'por', 'ello', 'e', 'necesario', 'cuidar', 'del', 'reflexionar', 'sobre', 'su', 'poder', 'para', 'cambiar', 'de', 'ru', '']"
8,RT @TheVeganDrakon: #ConsciousPlanet #metoo #animalstoo #MenToo #AnimalLiberation #ClimateCrisis #vegans #savetheplanet #religiousabuse #vi…,RT TheVeganDrakon ConsciousPlanet metoo animalstoo MenToo AnimalLiberation ClimateCrisis vegans savetheplanet religiousabuse vi…,"['rt', 'thevegandrakon', 'consciousplanet', 'metoo', 'animalstoo', 'mentoo', 'animalliberation', 'climatecrisis', 'vegans', 'savetheplanet', 'religiousabuse', 'vi', '']","['rt', 'thevegandrakon', 'consciousplanet', 'metoo', 'animalstoo', 'mentoo', 'animalliberation', 'climatecrisis', 'vegans', 'savetheplanet', 'religiousabuse', 'vi', '']","['rt', 'thevegandrakon', 'consciousplanet', 'metoo', 'animalstoo', 'mentoo', 'animalliber', 'climatecrisi', 'vegan', 'savetheplanet', 'religiousabus', 'vi', '']","['rt', 'thevegandrakon', 'consciousplanet', 'metoo', 'animalstoo', 'mentoo', 'animalliberation', 'climatecrisis', 'vegan', 'savetheplanet', 'religiousabuse', 'vi', '']"
9,"RT @Sheila_Rando: NY DEC lifts drought watch for parts of WNY, Upstate NY #SaveEnvironment #PlasticFreeOceans #SaveThePlanet #ifaw [Video]…",RT SheilaRando NY DEC lifts drought watch for parts of WNY Upstate NY SaveEnvironment PlasticFreeOceans SaveThePlanet ifaw Video…,"['rt', 'sheilarando', 'ny', 'dec', 'lifts', 'drought', 'watch', 'for', 'parts', 'of', 'wny', 'upstate', 'ny', 'saveenvironment', 'plasticfreeoceans', 'savetheplanet', 'ifaw', 'video', '']","['rt', 'sheilarando', 'ny', 'dec', 'lifts', 'drought', 'watch', 'parts', 'wny', 'upstate', 'ny', 'saveenvironment', 'plasticfreeoceans', 'savetheplanet', 'ifaw', 'video', '']","['rt', 'sheilarando', 'ny', 'dec', 'lift', 'drought', 'watch', 'part', 'wni', 'upstat', 'ny', 'saveenviron', 'plasticfreeocean', 'savetheplanet', 'ifaw', 'video', '']","['rt', 'sheilarando', 'ny', 'dec', 'lift', 'drought', 'watch', 'part', 'wny', 'upstate', 'ny', 'saveenvironment', 'plasticfreeoceans', 'savetheplanet', 'ifaw', 'video', '']"
