,text,clean_text,Tweet_tokenized,Tweet_without_stop,Tweet_stemmed,Tweet_lemmatized
10,@elonmusk @EvaFoxU You could buy $AMC stock and cause the short squeeze then with that money you make you could buy world peace. If climate change has a price then world peace certainly does too. #SAVETHEPLANET #SqueezeAMC,elonmusk EvaFoxU You could buy AMC stock and cause the short squeeze then with that money you make you could buy world peace If climate change has a price then world peace certainly does too SAVETHEPLANET SqueezeAMC,"['elonmusk', 'evafoxu', 'you', 'could', 'buy', 'amc', 'stock', 'and', 'cause', 'the', 'short', 'squeeze', 'then', 'with', 'that', 'money', 'you', 'make', 'you', 'could', 'buy', 'world', 'peace', 'if', 'climate', 'change', 'has', 'a', 'price', 'then', 'world', 'peace', 'certainly', 'does', 'too', 'savetheplanet', 'squeezeamc']","['elonmusk', 'evafoxu', 'could', 'buy', 'amc', 'stock', 'cause', 'short', 'squeeze', 'money', 'make', 'could', 'buy', 'world', 'peace', 'climate', 'change', 'price', 'world', 'peace', 'certainly', 'savetheplanet', 'squeezeamc']","['elonmusk', 'evafoxu', 'could', 'buy', 'amc', 'stock', 'caus', 'short', 'squeez', 'money', 'make', 'could', 'buy', 'world', 'peac', 'climat', 'chang', 'price', 'world', 'peac', 'certainli', 'savetheplanet', 'squeezeamc']","['elonmusk', 'evafoxu', 'could', 'buy', 'amc', 'stock', 'cause', 'short', 'squeeze', 'money', 'make', 'could', 'buy', 'world', 'peace', 'climate', 'change', 'price', 'world', 'peace', 'certainly', 'savetheplanet', 'squeezeamc']"
11,"RT @BULKY89165773: @garvin_danny @IsmaelR77859620 La storia di un Super cervello creato da menti disagiate, informazioni prese da milioni d…",RT BULKY garvindanny IsmaelR La storia di un Super cervello creato da menti disagiate informazioni prese da milioni d…,"['rt', 'bulky', 'garvindanny', 'ismaelr', 'la', 'storia', 'di', 'un', 'super', 'cervello', 'creato', 'da', 'menti', 'disagiate', 'informazioni', 'prese', 'da', 'milioni', 'd', '']","['rt', 'bulky', 'garvindanny', 'ismaelr', 'la', 'storia', 'di', 'un', 'super', 'cervello', 'creato', 'da', 'menti', 'disagiate', 'informazioni', 'prese', 'da', 'milioni', '']","['rt', 'bulki', 'garvindanni', 'ismaelr', 'la', 'storia', 'di', 'un', 'super', 'cervello', 'creato', 'da', 'menti', 'disagi', 'informazioni', 'prese', 'da', 'milioni', '']","['rt', 'bulky', 'garvindanny', 'ismaelr', 'la', 'storia', 'di', 'un', 'super', 'cervello', 'creato', 'da', 'menti', 'disagiate', 'informazioni', 'prese', 'da', 'milioni', '']"
12,"RT @dg_guardians: Time to Act is Now 🌎
#ReFi at #SBSLatam 

@filecoingreen @Filecoin @FilFoundation @museoelchico 

#NFT #NFTCommumity #Cry…","RT dgguardians Time to Act is Now 🌎
ReFi at SBSLatam 

filecoingreen Filecoin FilFoundation museoelchico 

NFT NFTCommumity Cry…","['rt', 'dgguardians', 'time', 'to', 'act', 'is', 'now', 'refi', 'at', 'sbslatam', 'filecoingreen', 'filecoin', 'filfoundation', 'museoelchico', 'nft', 'nftcommumity', 'cry', '']","['rt', 'dgguardians', 'time', 'act', 'refi', 'sbslatam', 'filecoingreen', 'filecoin', 'filfoundation', 'museoelchico', 'nft', 'nftcommumity', 'cry', '']","['rt', 'dgguardian', 'time', 'act', 'refi', 'sbslatam', 'filecoingreen', 'filecoin', 'filfound', 'museoelchico', 'nft', 'nftcommum', 'cri', '']","['rt', 'dgguardians', 'time', 'act', 'refi', 'sbslatam', 'filecoingreen', 'filecoin', 'filfoundation', 'museoelchico', 'nft', 'nftcommumity', 'cry', '']"
13,"#ConsciousPlanet #metoo #animalstoo #MenToo #AnimalLiberation #ClimateCrisis #vegans #savetheplanet #religiousabuse #victimsofreligion 
#animalagricultureclimatechange #RosesLaw #ALLFEMALES #Feminist #Feminism #Feminismo #peterkalmus #georgemonbiot #EndSpeciesism #JaneFonda https://t.co/qAUEcEWEUV","ConsciousPlanet metoo animalstoo MenToo AnimalLiberation ClimateCrisis vegans savetheplanet religiousabuse victimsofreligion 
animalagricultureclimatechange RosesLaw ALLFEMALES Feminist Feminism Feminismo peterkalmus georgemonbiot EndSpeciesism JaneFonda httpstcoqAUEcEWEUV","['consciousplanet', 'metoo', 'animalstoo', 'mentoo', 'animalliberation', 'climatecrisis', 'vegans', 'savetheplanet', 'religiousabuse', 'victimsofreligion', 'animalagricultureclimatechange', 'roseslaw', 'allfemales', 'feminist', 'feminism', 'feminismo', 'peterkalmus', 'georgemonbiot', 'endspeciesism', 'janefonda', 'httpstcoqaueceweuv']","['consciousplanet', 'metoo', 'animalstoo', 'mentoo', 'animalliberation', 'climatecrisis', 'vegans', 'savetheplanet', 'religiousabuse', 'victimsofreligion', 'animalagricultureclimatechange', 'roseslaw', 'allfemales', 'feminist', 'feminism', 'feminismo', 'peterkalmus', 'georgemonbiot', 'endspeciesism', 'janefonda', 'httpstcoqaueceweuv']","['consciousplanet', 'metoo', 'animalstoo', 'mentoo', 'animalliber', 'climatecrisi', 'vegan', 'savetheplanet', 'religiousabus', 'victimsofreligion', 'animalagricultureclimatechang', 'roseslaw', 'allfemal', 'feminist', 'femin', 'feminismo', 'peterkalmu', 'georgemonbiot', 'endspecies', 'janefonda', 'httpstcoqaueceweuv']","['consciousplanet', 'metoo', 'animalstoo', 'mentoo', 'animalliberation', 'climatecrisis', 'vegan', 'savetheplanet', 'religiousabuse', 'victimsofreligion', 'animalagricultureclimatechange', 'roseslaw', 'allfemales', 'feminist', 'feminism', 'feminismo', 'peterkalmus', 'georgemonbiot', 'endspeciesism', 'janefonda', 'httpstcoqaueceweuv']"
14,"@AvendelJaya La storia di un Super cervello creato da menti disagiate, informazioni prese da milioni di ludopatici seguiti da un team di esperti, l'EXP society.
#libri #letteratura #leggere #scrivere #comunity #peace #SaveThePlanet #WorldSmileDay #goodafternoon #art 
https://t.co/jqAz94HmGj","AvendelJaya La storia di un Super cervello creato da menti disagiate informazioni prese da milioni di ludopatici seguiti da un team di esperti lEXP society
libri letteratura leggere scrivere comunity peace SaveThePlanet WorldSmileDay goodafternoon art 
httpstcojqAzHmGj","['avendeljaya', 'la', 'storia', 'di', 'un', 'super', 'cervello', 'creato', 'da', 'menti', 'disagiate', 'informazioni', 'prese', 'da', 'milioni', 'di', 'ludopatici', 'seguiti', 'da', 'un', 'team', 'di', 'esperti', 'lexp', 'society', 'libri', 'letteratura', 'leggere', 'scrivere', 'comunity', 'peace', 'savetheplanet', 'worldsmileday', 'goodafternoon', 'art', 'httpstcojqazhmgj']","['avendeljaya', 'la', 'storia', 'di', 'un', 'super', 'cervello', 'creato', 'da', 'menti', 'disagiate', 'informazioni', 'prese', 'da', 'milioni', 'di', 'ludopatici', 'seguiti', 'da', 'un', 'team', 'di', 'esperti', 'lexp', 'society', 'libri', 'letteratura', 'leggere', 'scrivere', 'comunity', 'peace', 'savetheplanet', 'worldsmileday', 'goodafternoon', 'art', 'httpstcojqazhmgj']","['avendeljaya', 'la', 'storia', 'di', 'un', 'super', 'cervello', 'creato', 'da', 'menti', 'disagi', 'informazioni', 'prese', 'da', 'milioni', 'di', 'ludopatici', 'seguiti', 'da', 'un', 'team', 'di', 'esperti', 'lexp', 'societi', 'libri', 'letteratura', 'legger', 'scriver', 'comun', 'peac', 'savetheplanet', 'worldsmileday', 'goodafternoon', 'art', 'httpstcojqazhmgj']","['avendeljaya', 'la', 'storia', 'di', 'un', 'super', 'cervello', 'creato', 'da', 'menti', 'disagiate', 'informazioni', 'prese', 'da', 'milioni', 'di', 'ludopatici', 'seguiti', 'da', 'un', 'team', 'di', 'esperti', 'lexp', 'society', 'libri', 'letteratura', 'leggere', 'scrivere', 'comunity', 'peace', 'savetheplanet', 'worldsmileday', 'goodafternoon', 'art', 'httpstcojqazhmgj']"
15,"@garvin_danny @IsmaelR77859620 La storia di un Super cervello creato da menti disagiate, informazioni prese da milioni di ludopatici seguiti da un team di esperti, l'EXP society.
#libri #letteratura #leggere #scrivere #comunity #peace #SaveThePlanet #WorldSmileDay #goodafternoon #art 
https://t.co/jqAz94HmGj","garvindanny IsmaelR La storia di un Super cervello creato da menti disagiate informazioni prese da milioni di ludopatici seguiti da un team di esperti lEXP society
libri letteratura leggere scrivere comunity peace SaveThePlanet WorldSmileDay goodafternoon art 
httpstcojqAzHmGj","['garvindanny', 'ismaelr', 'la', 'storia', 'di', 'un', 'super', 'cervello', 'creato', 'da', 'menti', 'disagiate', 'informazioni', 'prese', 'da', 'milioni', 'di', 'ludopatici', 'seguiti', 'da', 'un', 'team', 'di', 'esperti', 'lexp', 'society', 'libri', 'letteratura', 'leggere', 'scrivere', 'comunity', 'peace', 'savetheplanet', 'worldsmileday', 'goodafternoon', 'art', 'httpstcojqazhmgj']","['garvindanny', 'ismaelr', 'la', 'storia', 'di', 'un', 'super', 'cervello', 'creato', 'da', 'menti', 'disagiate', 'informazioni', 'prese', 'da', 'milioni', 'di', 'ludopatici', 'seguiti', 'da', 'un', 'team', 'di', 'esperti', 'lexp', 'society', 'libri', 'letteratura', 'leggere', 'scrivere', 'comunity', 'peace', 'savetheplanet', 'worldsmileday', 'goodafternoon', 'art', 'httpstcojqazhmgj']","['garvindanni', 'ismaelr', 'la', 'storia', 'di', 'un', 'super', 'cervello', 'creato', 'da', 'menti', 'disagi', 'informazioni', 'prese', 'da', 'milioni', 'di', 'ludopatici', 'seguiti', 'da', 'un', 'team', 'di', 'esperti', 'lexp', 'societi', 'libri', 'letteratura', 'legger', 'scriver', 'comun', 'peac', 'savetheplanet', 'worldsmileday', 'goodafternoon', 'art', 'httpstcojqazhmgj']","['garvindanny', 'ismaelr', 'la', 'storia', 'di', 'un', 'super', 'cervello', 'creato', 'da', 'menti', 'disagiate', 'informazioni', 'prese', 'da', 'milioni', 'di', 'ludopatici', 'seguiti', 'da', 'un', 'team', 'di', 'esperti', 'lexp', 'society', 'libri', 'letteratura', 'leggere', 'scrivere', 'comunity', 'peace', 'savetheplanet', 'worldsmileday', 'goodafternoon', 'art', 'httpstcojqazhmgj']"
16,"NY DEC lifts drought watch for parts of WNY, Upstate NY #SaveEnvironment #PlasticFreeOceans #SaveThePlanet #ifaw [Video] https://t.co/ofr6aeWPZF",NY DEC lifts drought watch for parts of WNY Upstate NY SaveEnvironment PlasticFreeOceans SaveThePlanet ifaw Video httpstcoofraeWPZF,"['ny', 'dec', 'lifts', 'drought', 'watch', 'for', 'parts', 'of', 'wny', 'upstate', 'ny', 'saveenvironment', 'plasticfreeoceans', 'savetheplanet', 'ifaw', 'video', 'httpstcoofraewpzf']","['ny', 'dec', 'lifts', 'drought', 'watch', 'parts', 'wny', 'upstate', 'ny', 'saveenvironment', 'plasticfreeoceans', 'savetheplanet', 'ifaw', 'video', 'httpstcoofraewpzf']","['ny', 'dec', 'lift', 'drought', 'watch', 'part', 'wni', 'upstat', 'ny', 'saveenviron', 'plasticfreeocean', 'savetheplanet', 'ifaw', 'video', 'httpstcoofraewpzf']","['ny', 'dec', 'lift', 'drought', 'watch', 'part', 'wny', 'upstate', 'ny', 'saveenvironment', 'plasticfreeoceans', 'savetheplanet', 'ifaw', 'video', 'httpstcoofraewpzf']"
17,RT @energyisle: Our beautiful 🌎 ❤️ it or lose it. #SaveThePlanet #nature,RT energyisle Our beautiful 🌎 ❤️ it or lose it SaveThePlanet nature,"['rt', 'energyisle', 'our', 'beautiful', 'it', 'or', 'lose', 'it', 'savetheplanet', 'nature']","['rt', 'energyisle', 'beautiful', 'lose', 'savetheplanet', 'nature']","['rt', 'energyisl', 'beauti', 'lose', 'savetheplanet', 'natur']","['rt', 'energyisle', 'beautiful', 'lose', 'savetheplanet', 'nature']"
18,RT @LeoDiCaprio: Oil companies know that addressing climate change threatens their core business. Scientists have made it clear that if we…,RT LeoDiCaprio Oil companies know that addressing climate change threatens their core business Scientists have made it clear that if we…,"['rt', 'leodicaprio', 'oil', 'companies', 'know', 'that', 'addressing', 'climate', 'change', 'threatens', 'their', 'core', 'business', 'scientists', 'have', 'made', 'it', 'clear', 'that', 'if', 'we', '']","['rt', 'leodicaprio', 'oil', 'companies', 'know', 'addressing', 'climate', 'change', 'threatens', 'core', 'business', 'scientists', 'made', 'clear', '']","['rt', 'leodicaprio', 'oil', 'compani', 'know', 'address', 'climat', 'chang', 'threaten', 'core', 'busi', 'scientist', 'made', 'clear', '']","['rt', 'leodicaprio', 'oil', 'company', 'know', 'addressing', 'climate', 'change', 'threatens', 'core', 'business', 'scientist', 'made', 'clear', '']"
19,RT @elagoradiario: El #CambioClimático es una realidad y por ello es necesario cuidar del 🌍 y reflexionar sobre su poder para cambiar de ru…,RT elagoradiario El CambioClimático es una realidad y por ello es necesario cuidar del 🌍 y reflexionar sobre su poder para cambiar de ru…,"['rt', 'elagoradiario', 'el', 'cambioclimático', 'es', 'una', 'realidad', 'y', 'por', 'ello', 'es', 'necesario', 'cuidar', 'del', 'y', 'reflexionar', 'sobre', 'su', 'poder', 'para', 'cambiar', 'de', 'ru', '']","['rt', 'elagoradiario', 'el', 'cambioclimático', 'es', 'una', 'realidad', 'por', 'ello', 'es', 'necesario', 'cuidar', 'del', 'reflexionar', 'sobre', 'su', 'poder', 'para', 'cambiar', 'de', 'ru', '']","['rt', 'elagoradiario', 'el', 'cambioclimático', 'es', 'una', 'realidad', 'por', 'ello', 'es', 'necesario', 'cuidar', 'del', 'reflexionar', 'sobr', 'su', 'poder', 'para', 'cambiar', 'de', 'ru', '']","['rt', 'elagoradiario', 'el', 'cambioclimático', 'e', 'una', 'realidad', 'por', 'ello', 'e', 'necesario', 'cuidar', 'del', 'reflexionar', 'sobre', 'su', 'poder', 'para', 'cambiar', 'de', 'ru', '']"
20,RT @treacy_a: Love this simple message on my sons coat to pass it on rather than throw away. Well done @TOG24Official a lot of companies sh…,RT treacya Love this simple message on my sons coat to pass it on rather than throw away Well done TOGOfficial a lot of companies sh…,"['rt', 'treacya', 'love', 'this', 'simple', 'message', 'on', 'my', 'sons', 'coat', 'to', 'pass', 'it', 'on', 'rather', 'than', 'throw', 'away', 'well', 'done', 'togofficial', 'a', 'lot', 'of', 'companies', 'sh', '']","['rt', 'treacya', 'love', 'simple', 'message', 'sons', 'coat', 'pass', 'rather', 'throw', 'away', 'well', 'done', 'togofficial', 'lot', 'companies', 'sh', '']","['rt', 'treacya', 'love', 'simpl', 'messag', 'son', 'coat', 'pass', 'rather', 'throw', 'away', 'well', 'done', 'togoffici', 'lot', 'compani', 'sh', '']","['rt', 'treacya', 'love', 'simple', 'message', 'son', 'coat', 'pas', 'rather', 'throw', 'away', 'well', 'done', 'togofficial', 'lot', 'company', 'sh', '']"
21,"RT @rewards4earth: Don't put it off any longer, download the ErthPoints App and choose to help sustain our environment for the next generat…",RT rewardsearth Dont put it off any longer download the ErthPoints App and choose to help sustain our environment for the next generat…,"['rt', 'rewardsearth', 'dont', 'put', 'it', 'off', 'any', 'longer', 'download', 'the', 'erthpoints', 'app', 'and', 'choose', 'to', 'help', 'sustain', 'our', 'environment', 'for', 'the', 'next', 'generat', '']","['rt', 'rewardsearth', 'dont', 'put', 'longer', 'download', 'erthpoints', 'app', 'choose', 'help', 'sustain', 'environment', 'next', 'generat', '']","['rt', 'rewardsearth', 'dont', 'put', 'longer', 'download', 'erthpoint', 'app', 'choos', 'help', 'sustain', 'environ', 'next', 'generat', '']","['rt', 'rewardsearth', 'dont', 'put', 'longer', 'download', 'erthpoints', 'app', 'choose', 'help', 'sustain', 'environment', 'next', 'generat', '']"
