Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1973","1973","3050","FAO TIER 1","tonnes","25148032","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1973","1973","3050","FAO TIER 1","kilotonnes","1.7604","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1973","1973","3050","FAO TIER 1","kilotonnes","67.8997","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1974","1974","3050","FAO TIER 1","tonnes","26468096","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1974","1974","3050","FAO TIER 1","kilotonnes","1.8528","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1974","1974","3050","FAO TIER 1","kilotonnes","71.4639","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1975","1975","3050","FAO TIER 1","tonnes","27366480","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1975","1975","3050","FAO TIER 1","kilotonnes","1.9157","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1975","1975","3050","FAO TIER 1","kilotonnes","73.8895","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1976","1976","3050","FAO TIER 1","tonnes","28937056","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1976","1976","3050","FAO TIER 1","kilotonnes","2.0256","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1976","1976","3050","FAO TIER 1","kilotonnes","78.1301","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1977","1977","3050","FAO TIER 1","tonnes","28980752","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1977","1977","3050","FAO TIER 1","kilotonnes","2.0287","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1977","1977","3050","FAO TIER 1","kilotonnes","78.248","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1978","1978","3050","FAO TIER 1","tonnes","29109344","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1978","1978","3050","FAO TIER 1","kilotonnes","2.0377","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1978","1978","3050","FAO TIER 1","kilotonnes","78.5952","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1979","1979","3050","FAO TIER 1","tonnes","29298800","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1979","1979","3050","FAO TIER 1","kilotonnes","2.0509","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1979","1979","3050","FAO TIER 1","kilotonnes","79.1068","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1980","1980","3050","FAO TIER 1","tonnes","29525904","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1980","1980","3050","FAO TIER 1","kilotonnes","2.0668","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1980","1980","3050","FAO TIER 1","kilotonnes","79.7199","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1981","1981","3050","FAO TIER 1","tonnes","30158400","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1981","1981","3050","FAO TIER 1","kilotonnes","2.1111","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1981","1981","3050","FAO TIER 1","kilotonnes","81.4277","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1982","1982","3050","FAO TIER 1","tonnes","29427904","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1982","1982","3050","FAO TIER 1","kilotonnes","2.06","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1982","1982","3050","FAO TIER 1","kilotonnes","79.4553","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1983","1983","3050","FAO TIER 1","tonnes","20834000","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1983","1983","3050","FAO TIER 1","kilotonnes","1.4584","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1983","1983","3050","FAO TIER 1","kilotonnes","56.2518","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1984","1984","3050","FAO TIER 1","tonnes","29095008","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1984","1984","3050","FAO TIER 1","kilotonnes","2.0367","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1984","1984","3050","FAO TIER 1","kilotonnes","78.5565","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1985","1985","3050","FAO TIER 1","tonnes","30436000","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1985","1985","3050","FAO TIER 1","kilotonnes","2.1305","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1985","1985","3050","FAO TIER 1","kilotonnes","82.1772","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1986","1986","3050","FAO TIER 1","tonnes","27885008","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1986","1986","3050","FAO TIER 1","kilotonnes","1.952","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1986","1986","3050","FAO TIER 1","kilotonnes","75.2895","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7245","Biomass burned (dry matter)","0112","Maize (corn)","1987","1987","3050","FAO TIER 1","tonnes","24080000","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7230","Emissions (N2O)","0112","Maize (corn)","1987","1987","3050","FAO TIER 1","kilotonnes","1.6856","E","Estimated value",""
"GB","Burning - Crop Residues","840","United States of America","7225","Emissions (CH4)","0112","Maize (corn)","1987","1987","3050","FAO TIER 1","kilotonnes","65.016","E","Estimated value",""
