text,author_id,created_at,lang
"@JoeParys Take a 👀 on that one 😊
DAPP will be relased this week 😊

Charity based token for climate change solution to make the better world! 🌏

#ClimateBSC #Climate #ClimateToken #ClimateChange #SaveThePlanet
Maybe you choose a foundation and make a donation ? https://t.co/BMFNZVpNBy",1390293926171586564,2022-10-09 20:44:13+00:00,en
"🧵

Normalise repeating clothes/outfits at gigs if you’re an artist/audience or even in daily life.
If you wear an outfit 50 times instead of 5, its carbon footprint is reduced by 400%

Let’s be more responsible and sensible!

#ReUse #Thrift #SaveThePlanet

1/3",825004374,2022-10-09 20:40:17+00:00,en
"RT @daangiegang: @MedusaWorld_DAO I had a blast with Tai, happy to see him growing and being conscious that each actions generates a conseq…",1339149754056503296,2022-10-09 20:30:49+00:00,en
RT @elagoradiario: El #CambioClimático es una realidad y por ello es necesario cuidar del 🌍 y reflexionar sobre su poder para cambiar de ru…,124760079,2022-10-09 20:25:50+00:00,es
"I just did my daily click and helped for free at The https://t.co/6I3Ml43poM Rainforest Site! It's fast. It's easy. It's FREE. Give it a click to help! #PlanetOnFire #TheEarthIsMelting #SaveThePlanet #ThereIsNoEarth2 #ThereIsNoPlanetB 🔥🌎🌀🌍🌪️🌏🏭☣️♻️🙏

https://t.co/5PLQfGWDBe",2218699423,2022-10-09 20:22:36+00:00,en
RT @elagoradiario: El #CambioClimático es una realidad y por ello es necesario cuidar del 🌍 y reflexionar sobre su poder para cambiar de ru…,251453743,2022-10-09 20:19:11+00:00,es
"RT @Aphorisms_JP: ビーガン：私達は変化を生むから

#ビーガン #ヴィーガン #素食 #平和 #持続可能性 #菜食 #エシカル #プラントベース #クルエルティフリー #肉 #非暴力 #今日の言葉 #動物大好き #動物虐待反対 #純素 #優しさ #vegan…",1300442312149880833,2022-10-09 20:16:39+00:00,ja
"Single-use plastic is wreaking havoc on the planet. Here’s what you can do to minimize your impact https://t.co/diLMxNcEYW

#Plastic  #Environment  #SaveThePlanet",2880841441,2022-10-09 20:15:00+00:00,en
"La storia di un Super cervello creato da menti disagiate, informazioni prese da milioni di ludopatici seguiti da un team di esperti, l'EXP society.
#libri #letteratura #leggere #scrivere #comunity #peace #SaveThePlanet #WorldSmileDay #goodafternoon #art 
https://t.co/gwPQRJkFdD",1508920972132458499,2022-10-09 20:13:25+00:00,it
Nippes #stickart#cologne#shark #savetheplanet https://t.co/LWT7QjZSTI,1362508872817197057,2022-10-09 20:13:17+00:00,en
"RT @2D_OS_GAMES: What's the easiest way to rid yourself of garbage? Toss it off the roof of course! .. Just kidding, don't do that. 🌎🌍🌏❤️@I…",608762893,2022-10-09 20:13:11+00:00,en
"RT @monoartista: Are you coming in, my friend? 
—be curious, read &amp; watch the new micro #cryptoblog on Hive👇👇👇👇

 https://t.co/Nuwe4j4HZA…",1328342600873435138,2022-10-09 20:13:03+00:00,en
RT @PRPeta: Watched another extraordinary episode in the BBC doco series ‘Frozen Planet’ with Sir David Attenborough. But where are the doc…,1328342600873435138,2022-10-09 20:12:59+00:00,en
"RT @EIPrijzen: Inkoopprijzen van 22:00 tot 23:00 
💡 € 0,140 
🔥 € 1,000
 
Laagste 💡 inkoopprijs, Finland (€ 0,014) 
Hoogste 💡 inkoopprijs, G…",1328342600873435138,2022-10-09 20:12:52+00:00,nl
RT @FunWritings: #ChildrensBooks #Children #childrensbook #savetheplanet #ecokidsproject #fundraiser #amazon #environment #EnvironmentalSus…,1328342600873435138,2022-10-09 20:12:42+00:00,en
RT @TyrantsBeware: Over 90% of the UK businesses on our high streets leave their front doors wide open with heating on! #savetheplanet #Car…,1328342600873435138,2022-10-09 20:12:36+00:00,en
"La storia di un Super cervello creato da menti disagiate, informazioni prese da milioni di ludopatici seguiti da un team di esperti, l'EXP society.
#libri #letteratura #leggere #scrivere #comunity #peace #SaveThePlanet #WorldSmileDay #goodafternoon #art 
https://t.co/jqAz94pdsb",1499160379968086021,2022-10-09 20:12:32+00:00,it
"RT @EmanueleTedoldi: Non posso accettare un packaging 100% NON riciclabile! @Pringles 
#boycottpringles #recycling #savetheplanet",1328342600873435138,2022-10-09 20:12:29+00:00,it
"Are you coming in, my friend? 
—be curious, read &amp; watch the new micro #cryptoblog on Hive👇👇👇👇

 https://t.co/Nuwe4j4HZA 
 #NFT #NftArts  #monoartista #breathariansisland  #microseries #savetheplanetfilm  #abstractphilosophy #savetheplanet",1461103840007180295,2022-10-09 20:11:16+00:00,en
"RT @2D_OS_GAMES: What's the easiest way to rid yourself of garbage? Toss it off the roof of course! .. Just kidding, don't do that. 🌎🌍🌏❤️@I…",3390665254,2022-10-09 20:08:00+00:00,en
Watched another extraordinary episode in the BBC doco series ‘Frozen Planet’ with Sir David Attenborough. But where are the docos explaining what is being done to stop the destruction of our planet? #savetheplanet #frozenplanet #bbcnaturalhistory,23455467,2022-10-09 20:05:58+00:00,en
