	time	temp	dwpt	rhum	prcp	snow	wdir	wspd	wpgt	pres	tsun	coco
0	2020-01-01 00:00:00	0.3	-1.5	88.0	0.0		40.0	8.6	13.0	1036.9	0	3
1	2020-01-01 01:00:00	0.0	-1.4	90.0	0.0	0.0	40.0	9.7	15.0	1036.5	0	3
2	2020-01-01 02:00:00	0.1	-1.3	90.0	0.0		20.0	10.1	15.0	1036.3	0	5
3	2020-01-01 03:00:00	-1.1	-2.2	92.0	0.0		70.0	7.9	13.0	1036.2	0	2
4	2020-01-01 04:00:00	-0.4	-1.4	93.0	0.0		80.0	5.8	11.0	1035.7	0	3
5	2020-01-01 05:00:00	0.2	-1.2	90.0	0.0		50.0	7.2	11.0	1035.4	0	3
6	2020-01-01 06:00:00	-1.5	-2.8	91.0	0.0		50.0	8.3	13.0	1035.2	0	2
7	2020-01-01 07:00:00	-1.2	-2.3	92.0	0.0	0.0	50.0	9.7	15.0	1035.2	0	1
8	2020-01-01 08:00:00	-1.4	-2.5	92.0	0.0		10.0	10.4	15.0	1035.4	0	1
9	2020-01-01 09:00:00	-1.2	-2.5	91.0	0.0		30.0	11.2	18.0	1035.8	0	2
10	2020-01-01 10:00:00	-0.5	-2.4	87.0	0.0		30.0	10.8	17.0	1036.1	53	2
11	2020-01-01 11:00:00	0.6	-2.1	82.0	0.0		20.0	12.2	21.0	1036.0	60	2
12	2020-01-01 12:00:00	2.4	-1.2	77.0	0.0		40.0	11.2	18.0	1035.3	60	2
13	2020-01-01 13:00:00	3.5	-0.9	73.0	0.0	0.0	60.0	14.8	22.0	1034.6	60	1
14	2020-01-01 14:00:00	3.9	-0.9	71.0	0.0		70.0	13.7	21.0	1033.7	60	1
15	2020-01-01 15:00:00	4.3	-0.9	69.0	0.0		70.0	14.0	22.0	1033.5	60	1
16	2020-01-01 16:00:00	3.6	-0.6	74.0	0.0		50.0	11.2	18.0	1033.6	60	1
17	2020-01-01 17:00:00	2.2	-0.7	81.0	0.0		40.0	8.3	15.0	1033.4	22	1
18	2020-01-01 18:00:00	1.4	-0.8	85.0	0.0		60.0	5.8	11.0	1033.5	0	1
19	2020-01-01 19:00:00	0.2	-1.7	87.0	0.0	0.0	60.0	12.6	18.0	1033.4	0	1
20	2020-01-01 20:00:00	-0.6	-2.5	87.0	0.0		60.0	14.0	22.0	1033.8	0	1
21	2020-01-01 21:00:00	-1.2	-2.8	89.0	0.0		50.0	8.3	11.0	1033.7	0	1
22	2020-01-01 22:00:00	-1.1	-2.2	92.0	0.0		60.0	7.6	13.0	1033.1	0	1
23	2020-01-01 23:00:00	-1.1	-2.1	93.0	0.0		20.0	8.6	18.0	1032.8	0	1
