name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,icon
DC,2021-05-22,89.8,62.2,76.8,87.8,62.2,76.2,54.5,48.1,0,0,0,NA,0,0,22.5,14.5,257.5,1025.1,83,9.9,182.8,15.7,7,Partially cloudy,partly-cloudy-day
DC,2021-05-23,92.7,74.3,84,92.5,74.3,83.9,57.6,41.1,0,0,0,NA,0,0,30.2,19,306.5,1017.2,58.8,9.9,224.4,19.5,7,Partially cloudy,partly-cloudy-day
DC,2021-05-24,83.5,60.7,68.4,83.9,60.7,68.4,57.5,69.3,0.34,100,33.33,rain,0,0,21.9,15.5,105,1022.7,96.7,8.9,51.6,4.4,2,"Rain, Overcast",rain
DC,2021-05-25,78,58.7,66.9,78,58.7,66.9,57.7,72.9,0,0,0,NA,0,0,NA,11,149.8,1024.1,86.9,9.9,195.9,17,7,Partially cloudy,partly-cloudy-day
DC,2021-05-26,90.1,68.8,76.2,93.8,68.8,77.2,67.1,75.1,0.87,100,16.67,rain,0,0,39.1,16.3,182.3,1017,71.5,9.7,210.1,18.2,7,"Rain, Partially cloudy",rain
DC,2021-05-27,84.7,69.7,77.1,82.9,69.7,76.8,59.3,56.6,0,0,0,NA,0,0,20.8,16.5,281.7,1015.7,59.1,9.9,219.2,18.9,8,Partially cloudy,partly-cloudy-day
DC,2021-05-28,74.8,62,70.2,74.8,62,70.2,58.2,66.6,0.69,100,20.83,rain,0,0,19.7,14.1,78,1011.9,89,9.6,103.4,8.7,6,"Rain, Partially cloudy",rain
DC,2021-05-29,60.9,51.9,54.4,60.9,51.9,54.4,50.5,86.9,0.96,100,66.67,rain,0,0,27.7,16.6,29.8,1013.3,99.8,6.9,46.6,4,2,"Rain, Overcast",rain
DC,2021-05-30,56.6,49.7,53.2,56.6,44.1,52.6,46.4,77.8,0.17,100,20.83,rain,0,0,21.9,16,164,1021.2,97.6,9.5,71.1,6,2,"Rain, Overcast",rain
DC,2021-05-31,74.7,49.7,62.5,74.7,47.6,62.4,47.1,60.2,0,0,0,NA,0,0,20.8,13.8,270.9,1025.1,43.5,9.9,242.7,21.1,7,Partially cloudy,partly-cloudy-day
DC,2021-06-01,77,57.2,67.7,77,57.2,67.7,56.4,68.2,0,0,0,NA,0,0,17.2,14.6,190.6,1024.6,75.6,9.9,218.8,18.8,8,Partially cloudy,partly-cloudy-day
DC,2021-06-02,80.7,64.4,71.4,81.4,64.4,71.5,58.3,64.2,0,0,0,NA,0,0,21.9,13.9,169.2,1022,89.6,9.9,213.9,18.6,7,Partially cloudy,partly-cloudy-day
DC,2021-06-03,82.1,66.7,72.7,85,66.7,73.3,65.9,79.9,0.1,100,16.67,rain,0,0,21.9,18,181,1016.4,93.8,9,157.5,13.6,6,"Rain, Overcast",rain
DC,2021-06-04,84.7,70,74.7,84.8,70,74.8,65.6,75.9,0.09,100,8.33,rain,0,0,24.2,12.4,214,1013.9,77,9.9,205.3,17.8,7,"Rain, Partially cloudy",rain
DC,2021-06-05,91,68.6,79.7,91.6,68.6,80.1,64.4,63.1,0,0,0,NA,0,0,23,14.8,171.4,1016.3,29.9,9.9,240.3,20.7,8,Partially cloudy,partly-cloudy-day
DC,2021-06-06,91.9,71.3,81.2,95.3,71.3,83.3,67.4,64.7,0,0,0,NA,0,0,NA,12.4,177.9,1017.7,45.3,9.9,248.8,21.5,8,Partially cloudy,partly-cloudy-day
DC,2021-06-07,89.9,75.3,82.3,97.9,75.3,86.2,71.5,70.5,0,0,0,NA,0,0,NA,13.3,180.6,1018.4,70.9,9.9,220.1,18.9,8,Partially cloudy,partly-cloudy-day
DC,2021-06-08,88.1,75.6,81.6,96.6,75.6,85.2,71.4,71.5,0.01,100,4.17,rain,0,0,NA,13.1,175.4,1017.7,81.3,9.9,179.8,15.7,6,"Rain, Partially cloudy",rain
DC,2021-06-09,87.9,75.5,81.5,93.8,75.5,83.9,69.5,67.4,0,0,0,NA,0,0,NA,12.1,262.4,1016.7,82.6,9.9,127.1,11,4,Partially cloudy,partly-cloudy-day
DC,2021-06-10,87.2,71.7,77.8,91.6,71.7,78.9,69.3,76,0.94,100,29.17,rain,0,0,17.2,14,184.2,1014.4,88.4,9.1,135.5,11.6,6,"Rain, Partially cloudy",rain
DC,2021-06-11,70.8,66.7,68.9,70.8,66.7,68.9,66.2,91,1.74,100,66.67,rain,0,0,17.2,14.9,59.3,1011.5,100,6.7,29.6,2.3,1,"Rain, Overcast",rain
DC,2021-06-12,78.7,64.9,70.8,78.7,64.9,70.8,61,72.6,0,0,0,NA,0,0,21.9,13.1,64.3,1010.5,89.6,9.8,151.7,13,6,Partially cloudy,partly-cloudy-day
DC,2021-06-13,81.9,67.5,74.1,83.7,67.5,74.2,64.1,71.6,0,0,0,NA,0,0,NA,12.3,164,1012.4,83.5,9.9,169.2,14.6,7,Partially cloudy,partly-cloudy-day
DC,2021-06-14,87.8,67.6,77,89.7,67.6,77.9,64.4,66.2,0.14,100,4.17,rain,0,0,38.6,19.3,196.4,1009.6,67.9,9.6,213,18.3,8,"Rain, Partially cloudy",rain
DC,2021-06-15,80.8,65.9,73.6,80.6,65.9,73.6,59.2,63.5,1.57,100,12.5,rain,0,0,29.8,18.9,297.8,1009.7,58.7,9.5,222,19.4,8,"Rain, Partially cloudy",rain
DC,2021-06-16,80,65.8,73,80,65.8,73,48,42.9,0,0,0,NA,0,0,22.9,13.7,318.8,1013,48.1,9.9,261.6,22.5,8,Partially cloudy,partly-cloudy-day
DC,2021-06-17,79,60.1,71.3,79,60.1,71.3,42.8,37.1,0,0,0,NA,0,0,19.7,11.9,282.6,1016.5,40.5,9.9,258.1,22.3,8,Partially cloudy,partly-cloudy-day
DC,2021-06-18,84.7,60.2,73.7,83.8,60.2,73.6,54.7,52.7,0,0,0,NA,0,0,21.9,14.6,194.2,1016.3,42.4,9.9,233.4,20,8,Partially cloudy,partly-cloudy-day
DC,2021-06-19,86.9,73,78.9,89,73,79.7,64.4,61.6,0,0,0,NA,0,0,23.3,13.9,193.5,1010.6,86.6,9.9,105.4,9,5,Partially cloudy,partly-cloudy-day
DC,2021-06-20,88.2,72.6,80.4,94.1,72.6,83.1,70.5,73,0.15,100,8.33,rain,0,0,NA,14.8,199.1,1009.8,79.6,9.3,238.9,20.5,8,"Rain, Partially cloudy",rain
DC,2021-06-21,89.9,74.6,80.4,99.1,74.6,83,71.5,75.3,0.05,100,4.17,rain,0,0,31.5,14.6,179.8,1006.2,80.1,9.9,220.6,19.1,8,"Rain, Partially cloudy",rain
DC,2021-06-22,75.5,64.3,70.2,75.5,64.3,70.2,62.7,77.9,0.33,100,25,rain,0,0,21.9,12.8,265.5,1009,82.5,9.3,56.9,4.8,2,"Rain, Partially cloudy",rain
DC,2021-06-23,77.6,56.2,67.2,77.6,56.2,67.2,46.9,50.5,0,0,0,NA,0,0,NA,12.4,174.4,1022.4,34.4,9.9,253.9,22.1,8,Partially cloudy,partly-cloudy-day
DC,2021-06-24,77.9,59.4,70.4,77.9,59.4,70.4,51.7,53,0,0,0,NA,0,0,17.2,9.7,126.2,1026.7,40.3,9.9,233.2,20.2,7,Partially cloudy,partly-cloudy-day
DC,2021-06-25,80,62.2,71.8,80.7,62.2,71.8,59,65.2,0,0,0,NA,0,0,NA,12.3,142.6,1025.4,56.3,9.9,233.4,20,8,Partially cloudy,partly-cloudy-day
DC,2021-06-26,84.7,72.8,78.3,88.8,72.8,80.1,70,76.3,0.12,100,8.33,rain,0,0,17.7,14.8,181.3,1022.5,89.6,9.7,203.4,17.6,9,"Rain, Partially cloudy",rain
DC,2021-06-27,88.1,73.8,80.9,95.6,73.8,84.2,71,72.7,0,0,0,NA,0,0,27.3,17.8,186,1021.9,77.7,9.9,233,20.2,7,Partially cloudy,partly-cloudy-day
DC,2021-06-28,90,75.5,83,99.1,75.5,86.9,71.6,69.4,0,0,0,NA,0,0,NA,13.6,179.8,1023.4,30.7,9.9,264.6,22.9,8,Partially cloudy,partly-cloudy-day
DC,2021-06-29,92.8,76.5,83.9,98.9,76.5,88.1,72,68.8,0,0,0,NA,0,0,20.8,15.4,186,1023.3,38.5,9.9,259.5,22.5,8,Partially cloudy,partly-cloudy-day
DC,2021-06-30,93.9,75.4,84.9,102.9,75.4,88.8,69.6,61.3,0.03,100,8.33,rain,0,0,33.3,14.9,211.7,1017.7,41.4,9.9,232.3,20,8,"Rain, Partially cloudy",rain
DC,2021-07-01,90.1,71.6,79.2,96.3,71.6,80.7,70,74.2,1.18,100,12.5,rain,0,0,57.2,8.8,181.5,1012.1,79.1,9.9,129.9,11.1,6,"Rain, Partially cloudy",rain
DC,2021-07-02,80.9,70.8,74.6,81.5,70.8,74.7,62.1,68.6,0.11,100,25,rain,0,0,27.7,16.6,274.8,1008.7,81.2,9.9,147.1,12.8,6,"Rain, Partially cloudy",rain
DC,2021-07-03,80.6,62.9,72,80.6,62.9,72,55.6,57.5,0.01,100,4.17,rain,0,0,32.6,15.5,296,1009.9,70.3,9.9,182.5,15.8,7,"Rain, Partially cloudy",rain
DC,2021-07-04,83.8,64.5,75.4,84.1,64.5,75.5,60.3,61.4,0,0,0,NA,0,0,NA,11,235.5,1012.8,58.5,9.8,206.8,17.9,7,Partially cloudy,partly-cloudy-day
DC,2021-07-05,88,70.4,79.5,91.5,70.4,80.9,66.4,65.3,0,0,0,NA,0,0,NA,13.7,139.1,1016.8,68.1,9.1,215.7,18.4,7,Partially cloudy,partly-cloudy-day
DC,2021-07-06,92.8,73.6,83.1,101.5,73.6,87.3,70.2,66.3,0,0,0,NA,0,0,27.4,15.5,190.3,1017,35.9,9.9,222.5,19.3,7,Partially cloudy,partly-cloudy-day
DC,2021-07-07,92.8,76.5,84.8,103.7,76.5,89.8,71.2,64.6,0,0,0,NA,0,0,16.1,15.4,182.8,1014.9,46.6,9.1,226.1,19.5,7,Partially cloudy,partly-cloudy-day
DC,2021-07-08,84.9,72.9,79.6,92.2,72.9,81.7,70,72.7,0.23,100,20.83,rain,0,0,32.2,17.8,158.8,1014.1,88.4,9.9,118.9,10.3,5,"Rain, Partially cloudy",rain
DC,2021-07-09,89.7,70.9,77.3,95.3,70.9,78.7,69.6,78.2,0.82,100,16.67,rain,0,0,29.9,16.9,212.3,1011.6,69.7,9.4,169.9,14.9,7,"Rain, Partially cloudy",rain
DC,2021-07-10,82.9,70.7,76.7,83.9,70.7,77,62.4,62.6,0,0,0,NA,0,0,20.8,14.5,286.2,1016.3,80.1,9.9,233.1,20,7,Partially cloudy,partly-cloudy-day
DC,2021-07-11,89.8,74.4,81.9,98,74.4,86.1,70,67.6,0,0,0,NA,0,0,19.7,15.4,172.8,1016.7,80,9.9,194.2,16.7,7,Partially cloudy,partly-cloudy-day
DC,2021-07-12,91.1,77.9,84.1,102.7,77.9,89.5,73.6,71.6,0,0,0,NA,0,0,NA,16.6,188.5,1018.6,65.8,9.9,221.4,19.3,7,Partially cloudy,partly-cloudy-day
DC,2021-07-13,92.8,77.9,85.1,102.8,77.9,90.4,72.1,66.1,0,0,0,NA,0,0,25.7,18.8,187.2,1021.1,61.4,9.9,218.6,18.9,8,Partially cloudy,partly-cloudy-day
DC,2021-07-14,89.9,73.8,81.6,93.8,73.8,83.6,69.3,67.9,0,0,0,NA,0,0,NA,11.3,217.5,1021.3,65.2,9.7,135.1,11.6,7,Partially cloudy,partly-cloudy-day
DC,2021-07-15,90,71.6,81.6,97.1,71.6,84.5,69.7,69.1,0,0,0,NA,0,0,NA,13.3,192,1019.2,68.1,9.9,200.3,17.2,7,Partially cloudy,partly-cloudy-day
DC,2021-07-16,92.9,77.6,85.4,97.1,77.6,88.9,69,59.1,0,0,0,NA,0,0,NA,15.3,170.4,1017,52.1,9.9,231.7,20.1,8,Partially cloudy,partly-cloudy-day
DC,2021-07-17,92.9,78.5,84.6,104,78.5,90,72.1,66.9,0,0,0,NA,0,0,28.4,20,198.8,1016.2,66.4,9.9,191.3,16.7,8,Partially cloudy,partly-cloudy-day
DC,2021-07-18,83,73.9,78.1,83.4,73.9,78.2,62.7,60,0,0,0,NA,0,0,28.7,17.1,279.1,1017.3,72.8,9.9,191.1,16.5,7,Partially cloudy,partly-cloudy-day
DC,2021-07-19,88.9,71.8,79.9,89.2,71.8,80.5,63.3,58.1,0,0,0,NA,0,0,NA,10.1,240,1017.2,73.2,9.9,187,16.1,6,Partially cloudy,partly-cloudy-day
DC,2021-07-20,92.8,72.3,82.4,93.8,72.3,83.4,65,57.6,0,0,0,NA,0,0,NA,10.8,280,1014.1,13.6,9.4,191.4,16.3,6,Clear,clear-day
DC,2021-07-21,88.7,75.3,81.2,93.8,75.3,82.4,65.7,60,0.41,100,4.17,rain,0,0,50.6,19.1,255.8,1012.8,41.6,8.8,163.7,14,5,"Rain, Partially cloudy",rain
DC,2021-07-22,83.7,68.7,76.2,82,68.7,75.9,54.3,48.3,0,0,0,NA,0,0,19.7,13.8,247.3,1019.8,62,9.9,216,18.5,7,Partially cloudy,partly-cloudy-day
DC,2021-07-23,85.7,67.3,76.4,83.7,67.3,75.9,54.6,48.6,0,0,0,NA,0,0,NA,9.8,143.6,1020.9,64.9,9.9,212.8,18.5,7,Partially cloudy,partly-cloudy-day
DC,2021-07-24,85.7,69.2,77.4,87,69.2,77.7,61.5,58.7,0.02,100,8.33,rain,0,0,23,15.5,159.5,1018.7,80.7,9.8,138.8,12.1,7,"Rain, Partially cloudy",rain
DC,2021-07-25,88.3,73.9,80.5,94.8,73.9,83.8,68.8,67.8,0,0,0,NA,0,0,23,14.3,188.9,1013.6,86.4,9.9,61,5.2,3,Partially cloudy,partly-cloudy-day
DC,2021-07-26,96,74.6,82.6,98.5,74.6,84.5,69.3,67,0.27,100,4.17,rain,0,0,32.3,13.6,177.4,1013.2,75.2,9.6,58.2,4.9,3,"Rain, Partially cloudy",rain
DC,2021-07-27,94.8,72.6,82.7,95.6,72.6,83.6,66.3,62,0.07,100,4.17,rain,0,0,NA,10.8,177.5,1014.7,40.6,9.8,76.7,6.7,5,"Rain, Partially cloudy",rain
DC,2021-07-28,92.8,75.3,83.1,93.6,75.3,83.9,64.8,56,0.4,100,4.17,rain,0,0,19.7,12.4,177.9,1015,40.4,9.8,73.8,6.3,5,"Rain, Partially cloudy",rain
DC,2021-07-29,87.1,73.7,79.2,92.8,73.7,81.6,71.1,77.1,0.2,100,8.33,rain,0,0,23,14.1,178.8,1013.4,85.4,9.8,43.7,3.8,2,"Rain, Partially cloudy",rain
DC,2021-07-30,89.6,75.6,82.5,89.7,75.6,82.9,63.8,56.3,0,0,0,NA,0,0,25.7,15,319.5,1010.8,54.3,9.9,69.1,5.9,5,Partially cloudy,partly-cloudy-day
DC,2021-07-31,80.8,69.6,74.7,81.2,69.6,74.7,57,54.5,0,0,0,NA,0,0,NA,11.9,118.4,1015.5,82.6,9.9,72.3,6.2,5,Partially cloudy,partly-cloudy-day
DC,2021-08-01,80.5,70.8,74.4,82.9,70.8,74.5,67.3,79,0.41,100,25,rain,0,0,25.3,13.2,204,1011.7,92.2,9.3,31.6,3,1,"Rain, Overcast",rain
DC,2021-08-02,82.5,66.4,73.9,81.9,66.4,73.9,58.1,59.6,0,0,0,NA,0,0,20.8,13.4,261.9,1016.3,38.5,9.9,52.5,4.5,3,Partially cloudy,partly-cloudy-day
DC,2021-08-03,80.7,67.4,73.8,81,67.4,73.9,59.9,63.1,0,0,0,NA,0,0,NA,10.1,118.5,1019.1,86.3,9.9,48.4,4.1,2,Partially cloudy,partly-cloudy-day
DC,2021-08-04,81.8,68.5,74.2,81.4,68.5,74.1,59.4,62,0,0,0,NA,0,0,24.2,13,70,1019.1,60.3,9.9,67.3,5.8,4,Partially cloudy,partly-cloudy-day
DC,2021-08-05,86.9,66,76.3,85.9,66,76.2,59.9,59,0,0,0,NA,0,0,NA,9.9,133.4,1019.8,49.7,9.9,75.6,6.4,6,Partially cloudy,partly-cloudy-day
DC,2021-08-06,89.7,70.4,79.5,90.2,70.4,80,64.1,61.4,0,0,0,NA,0,0,21.9,14.4,184.2,1021,70,9.9,74.6,6.4,6,Partially cloudy,partly-cloudy-day
DC,2021-08-07,76.8,69.5,72.5,76.8,69.5,72.5,65.9,80,0.25,100,12.5,rain,0,0,NA,9.4,145.8,1018.5,92.1,9.8,24,2.1,1,"Rain, Overcast",rain
DC,2021-08-08,90.6,68.7,77.9,90.5,68.7,78.4,64.6,66.2,0,0,0,NA,0,0,NA,11.2,241.3,1017.8,50.9,9.8,80.2,6.9,6,Partially cloudy,partly-cloudy-day
DC,2021-08-09,90.5,73.5,80.1,98.1,73.5,82.5,70.8,74.7,0.01,100,4.17,rain,0,0,23,15.7,149.3,1019.6,72.6,9.9,57.1,4.8,3,"Rain, Partially cloudy",rain
DC,2021-08-10,92.9,75.7,81.7,103.1,75.7,84.4,72,74,0.6,100,8.33,rain,0,0,44.7,23.3,167.5,1019.2,54.2,9.8,65.6,5.6,5,"Rain, Partially cloudy",rain
DC,2021-08-11,94.9,74.6,81.2,104.1,74.6,84.2,71.9,74.7,0.07,100,8.33,rain,0,0,34.4,12.6,188.5,1017.7,62.5,9.9,74.9,6.4,5,"Rain, Partially cloudy",rain
DC,2021-08-12,96,73.7,83.8,104.1,73.7,89.1,72.7,71,0,0,0,NA,0,0,NA,15.4,191.4,1017.1,40.4,9.9,71.6,6.1,5,Partially cloudy,partly-cloudy-day
DC,2021-08-13,96,74.7,84.7,102.5,74.7,89.4,71.2,66,0.1,100,16.67,rain,0,0,34.4,15.3,219.8,1018,78.2,9.9,67.2,5.8,5,"Rain, Partially cloudy",rain
DC,2021-08-14,91.8,73.7,82.2,98.6,73.7,85.2,70.3,69.2,0,0,0,NA,0,0,17.2,10.1,184.3,1019,82.8,9.9,64.5,5.5,4,Partially cloudy,partly-cloudy-day
DC,2021-08-15,82.7,72.8,77.3,83.8,72.8,77.6,65.2,67.6,2.48,100,29.17,rain,0,0,32.2,12.9,80,1021.6,92,9.3,52.9,4.5,3,"Rain, Overcast",rain
DC,2021-08-16,82.7,73.3,76.8,87.3,73.3,77.1,69.7,79.2,0.69,100,37.5,rain,0,0,21.9,9.9,114.6,1021,97.2,9.5,34.4,2.8,1,"Rain, Overcast",rain
DC,2021-08-17,87,72.8,80,96.2,72.8,83.6,72.9,79.9,0.62,100,16.67,rain,0,0,36.7,10,138.2,1020.5,89.6,9.6,40.1,3.4,1,"Rain, Partially cloudy",rain
DC,2021-08-18,87,78.8,82.4,97.3,78.8,87.9,75.5,79.9,0.33,100,12.5,rain,0,0,30.8,20,167.7,1018.6,82.5,9.8,48.7,4.1,3,"Rain, Partially cloudy",rain
DC,2021-08-19,90.9,75.6,82.8,95.8,75.6,85.3,70.7,68.7,0.02,100,4.17,rain,0,0,20.8,12.9,243.4,1016.1,76.9,9.9,54.2,4.6,4,"Rain, Partially cloudy",rain
DC,2021-08-20,83.5,71,77.3,86,71,77.8,69,76.7,2.13,100,37.5,rain,0,0,NA,13.1,138.5,1013.5,91.8,8.4,49.9,4.3,3,"Rain, Overcast",rain
DC,2021-08-21,85.7,74.4,79.9,90.1,74.4,81.7,69.6,71.4,0.11,100,8.33,rain,0,0,NA,9.5,130.3,1012.1,83.8,9.9,37.4,3.3,1,"Rain, Partially cloudy",rain
DC,2021-08-22,82.9,73.6,78.2,87.3,73.6,79.7,69.4,74.8,0.09,100,8.33,rain,0,0,42.5,8.7,187.3,1012.2,68.5,9.9,36.9,3.2,1,"Rain, Partially cloudy",rain
DC,2021-08-23,92.7,73.7,83.3,97.1,73.7,85.9,68.7,63.5,0,0,0,NA,0,0,22.9,16.5,256.7,1011.5,66.2,9.8,63.7,5.4,4,Partially cloudy,partly-cloudy-day
DC,2021-08-24,92.6,75.6,83.6,98,75.6,86.6,69.5,64.2,0.02,100,4.17,rain,0,0,NA,14.4,270,1015.4,47.2,9.8,70.9,6,5,"Rain, Partially cloudy",rain
DC,2021-08-25,92.5,74.5,83,100.7,74.5,86.5,71.8,71.1,0.04,100,8.33,rain,0,0,19.7,9.8,138.8,1019,43.2,9.8,64.6,5.5,4,"Rain, Partially cloudy",rain
DC,2021-08-26,90.2,75.5,80.3,100.2,75.5,83.2,71.9,76.1,0.52,100,16.67,rain,0,0,26.8,14.9,137.1,1019.8,80.7,8.9,67.7,5.9,6,"Rain, Partially cloudy",rain
DC,2021-08-27,91.2,75.3,80.7,101.1,75.3,83.4,73,78.3,0.29,100,12.5,rain,0,0,31.7,13.1,129.6,1018.9,56.6,9.1,53.1,4.6,6,"Rain, Partially cloudy",rain
DC,2021-08-28,90.7,75.5,81.8,99.5,75.5,85.2,72.4,74.4,0,0,0,NA,0,0,NA,14,143.3,1021.1,56.5,9,64.8,5.6,5,Partially cloudy,partly-cloudy-day
DC,2021-08-29,82.9,72.9,77.7,86.8,72.9,78.8,69.5,76.7,0,0,0,NA,0,0,NA,10.8,87.9,1021.2,88.9,9.7,41.4,3.6,1,Partially cloudy,partly-cloudy-day
DC,2021-08-30,92.6,74.4,80.6,99.8,74.4,83,71.2,74.7,0,0,0,NA,0,0,20.8,15.7,205.3,1013.6,63.1,9.1,68.5,5.9,7,Partially cloudy,partly-cloudy-day
DC,2021-08-31,85.8,74.5,80.1,90.5,74.5,82.4,70.1,72.3,0,0,0,NA,0,0,NA,8.7,169.3,1010,79.1,9.6,30.4,2.7,1,Partially cloudy,partly-cloudy-day
DC,2021-09-01,83.6,67.8,76.8,89.2,67.8,77.7,71.4,83.7,1.18,100,25,rain,0,0,40.3,24.2,160.9,1003.9,93,9.3,21.6,1.7,1,"Rain, Overcast",rain
