,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Owen Hollifield,U.K,"Vegan, Books, Environment, Nature. 📚🌍🦔.
Yes I will read and review your book - DM me to discuss.",False,2022-09-27 04:46:47+00:00,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","['windpowered', 'renewable']",Twitter Web App
1,Huma,Lahore,believes in human rights & dignity and Art is essential to life- retweets are not personal opinions or endorsements,False,2022-09-27 04:46:45+00:00,RT @sabaeitizaz: A third of #Pakistan is underwater due to cataclysmic floods. For a country whose contribution to global emissions is less…,['Pakistan'],Twitter for iPhone
2,atulshukla,,"PHD Student @IITRoorkee
MA Economics (JRF) BHU

वादे वादे जायते तत्त्वबोधः |",False,2022-09-27 04:46:44+00:00,"RT @samirsaran: A nexus of multiple crises: #Energy, #Debt, #Climate, #Food- Can the #G20 respond?

#Multilateralism undone by its custodia…","['Energy', 'Debt', 'Climate', 'Food', 'G20', 'Multilateralism']",Twitter Web App
3,Neil Andrews supporting 🏳️‍⚧️ 🌈,Dhudhuroa country,,False,2022-09-27 04:46:42+00:00,RT @pollyjhemming: Aus has an arbitrary defence spending 'target' of 2% of GDP every yr ($48bil in 2021) – for stuff we'll probably never u…,,Twitter Web App
4,🆂🆄🆁🆅🅸🆅🅰🅻 ᵒᶠ ᵗʰᵉ 🅢🅜🅐🅡🅣🅔🅢🅣,,"Team Wissenschaft - ich bin der Gemeine zu Bellizisten & Leerdenkern.
Evidenz siegt immer.
Pazifist & Klimaaktivist.
Klar geimpft.
Ansonsten Nerd & Sarkastiker.",False,2022-09-27 04:46:26+00:00,"RT @MikeHudema: The trains in the Netherlands are 100% #windpowered. Over 5,500 trips a day 100% #renewable.

We have the solutions. Implem…","['windpowered', 'renewable']",Twitter for Android
5,Karman Port,"Oslo, Noruega",Computer scientist,False,2022-09-27 04:45:54+00:00,RT @MikeHudema: 98% of Costa Rica's power already comes from #renewables. Half of the land is covered by forest. They're aiming to transfor…,['renewables'],Twitter for Android
6,🚴‍♂️TrekkingStar2003,Deutschland,"Tech-Priester; Demokrat, Antischwurbler, hochgradig allergisch geg. Ungerechtigkeit & Ignoranz; mag POI I7FI; #STVOultras  (#TeamBULLITT)",False,2022-09-27 04:45:36+00:00,"RT @EarthKeeper22: When you have to carry your own #water, you #understand the #value of every drop... 🦋LJC

#Climate #FossilFuels #Frackin…","['water', 'understand', 'value', 'Climate', 'FossilFuels']",Twitter for iPhone
7,Lyn Ruelo,,,False,2022-09-27 04:45:10+00:00,"RT @MikeHudema: This mobile #solar plant can be set up anywhere and generate 3x the power of a domestic solar array.

We have the solutions…",['solar'],Twitter for Android
8,Muzna Alvi,,"Full-time Economist at IFPRI, working on agriculture, gender, ethnicity, South Asia. Part-time mom. She/her",False,2022-09-27 04:45:04+00:00,"RT @IFPRISAO: #HappeningNow 
Women farmers are a crucial resource in #agriculture &amp; to build sustainable, #climate-resilient #foodsystems.…","['HappeningNow', 'agriculture', 'climate', 'foodsystems']",Twitter Web App
9,Yuki Matsuno,"Vancouver, BC","Lawyer, Mediator, Counselling Intern. Systems Change for Climate Healing!",False,2022-09-27 04:45:02+00:00,"RT @MikeHudema: Over 11,000 scientists from 153 countries have banded together to declare a #climateemergency. Listen to them.

There is no…",['climateemergency'],Twitter Web App
