,text,clean_text,Tweet_tokenized,Tweet_without_stop,Tweet_stemmed,Tweet_lemmatized
0,"RT @BeccasButterfli: Found out something about my favourite #Butterfly, which could be due to #climatechange 🦋🌎
#ButterflyWhisperer #Beccas…","RT BeccasButterfli Found out something about my favourite Butterfly which could be due to climatechange 🦋🌎
ButterflyWhisperer Beccas…","['rt', 'beccasbutterfli', 'found', 'out', 'something', 'about', 'my', 'favourite', 'butterfly', 'which', 'could', 'be', 'due', 'to', 'climatechange', 'butterflywhisperer', 'beccas', '']","['rt', 'beccasbutterfli', 'found', 'something', 'favourite', 'butterfly', 'could', 'due', 'climatechange', 'butterflywhisperer', 'beccas', '']","['rt', 'beccasbutterfli', 'found', 'someth', 'favourit', 'butterfli', 'could', 'due', 'climatechang', 'butterflywhisper', 'becca', '']","['rt', 'beccasbutterfli', 'found', 'something', 'favourite', 'butterfly', 'could', 'due', 'climatechange', 'butterflywhisperer', 'beccas', '']"
1,The pressure is mounting for asset owners to tackle the impacts of #climatechange. What are the biggest challenges? We recently discussed how institutional #investors can address climate #investing with @swetac of @wedonthavetime. https://t.co/urZwNpJIRm #ESG https://t.co/9wQr22Kq9Y,The pressure is mounting for asset owners to tackle the impacts of climatechange What are the biggest challenges We recently discussed how institutional investors can address climate investing with swetac of wedonthavetime httpstcourZwNpJIRm ESG httpstcowQrKqY,"['the', 'pressure', 'is', 'mounting', 'for', 'asset', 'owners', 'to', 'tackle', 'the', 'impacts', 'of', 'climatechange', 'what', 'are', 'the', 'biggest', 'challenges', 'we', 'recently', 'discussed', 'how', 'institutional', 'investors', 'can', 'address', 'climate', 'investing', 'with', 'swetac', 'of', 'wedonthavetime', 'httpstcourzwnpjirm', 'esg', 'httpstcowqrkqy']","['pressure', 'mounting', 'asset', 'owners', 'tackle', 'impacts', 'climatechange', 'biggest', 'challenges', 'recently', 'discussed', 'institutional', 'investors', 'address', 'climate', 'investing', 'swetac', 'wedonthavetime', 'httpstcourzwnpjirm', 'esg', 'httpstcowqrkqy']","['pressur', 'mount', 'asset', 'owner', 'tackl', 'impact', 'climatechang', 'biggest', 'challeng', 'recent', 'discuss', 'institut', 'investor', 'address', 'climat', 'invest', 'swetac', 'wedonthavetim', 'httpstcourzwnpjirm', 'esg', 'httpstcowqrkqi']","['pressure', 'mounting', 'asset', 'owner', 'tackle', 'impact', 'climatechange', 'biggest', 'challenge', 'recently', 'discussed', 'institutional', 'investor', 'address', 'climate', 'investing', 'swetac', 'wedonthavetime', 'httpstcourzwnpjirm', 'esg', 'httpstcowqrkqy']"
2,RT @CFigueres: Coming back to this once more.  If you don’t understand the impact of #climatechange on developing countries you just cannot…,RT CFigueres Coming back to this once more  If you don’t understand the impact of climatechange on developing countries you just cannot…,"['rt', 'cfigueres', 'coming', 'back', 'to', 'this', 'once', 'more', 'if', 'you', 'don', 't', 'understand', 'the', 'impact', 'of', 'climatechange', 'on', 'developing', 'countries', 'you', 'just', 'cannot', '']","['rt', 'cfigueres', 'coming', 'back', 'understand', 'impact', 'climatechange', 'developing', 'countries', 'cannot', '']","['rt', 'cfiguer', 'come', 'back', 'understand', 'impact', 'climatechang', 'develop', 'countri', 'cannot', '']","['rt', 'cfigueres', 'coming', 'back', 'understand', 'impact', 'climatechange', 'developing', 'country', 'cannot', '']"
3,RT @SDG_Academy: #Cities can either be catalysts of #ClimateChange or a solution through #ClimateAction and innovation. You can play a role…,RT SDGAcademy Cities can either be catalysts of ClimateChange or a solution through ClimateAction and innovation You can play a role…,"['rt', 'sdgacademy', 'cities', 'can', 'either', 'be', 'catalysts', 'of', 'climatechange', 'or', 'a', 'solution', 'through', 'climateaction', 'and', 'innovation', 'you', 'can', 'play', 'a', 'role', '']","['rt', 'sdgacademy', 'cities', 'either', 'catalysts', 'climatechange', 'solution', 'climateaction', 'innovation', 'play', 'role', '']","['rt', 'sdgacademi', 'citi', 'either', 'catalyst', 'climatechang', 'solut', 'climateact', 'innov', 'play', 'role', '']","['rt', 'sdgacademy', 'city', 'either', 'catalyst', 'climatechange', 'solution', 'climateaction', 'innovation', 'play', 'role', '']"
4,Annual global temperatures from 1850-2017. Still think this is a natural occurrence? #climatechange #climatecrisis #gogreen https://t.co/uoOfzxdwRQ,Annual global temperatures from  Still think this is a natural occurrence climatechange climatecrisis gogreen httpstcouoOfzxdwRQ,"['annual', 'global', 'temperatures', 'from', 'still', 'think', 'this', 'is', 'a', 'natural', 'occurrence', 'climatechange', 'climatecrisis', 'gogreen', 'httpstcouoofzxdwrq']","['annual', 'global', 'temperatures', 'still', 'think', 'natural', 'occurrence', 'climatechange', 'climatecrisis', 'gogreen', 'httpstcouoofzxdwrq']","['annual', 'global', 'temperatur', 'still', 'think', 'natur', 'occurr', 'climatechang', 'climatecrisi', 'gogreen', 'httpstcouoofzxdwrq']","['annual', 'global', 'temperature', 'still', 'think', 'natural', 'occurrence', 'climatechange', 'climatecrisis', 'gogreen', 'httpstcouoofzxdwrq']"
5,"RT @nicoldesign2012: @ForeverUnitedFU @Norm_Farrell @Harold_Steves The costs of #ClimateChange, essential work of restoration and regenerat…",RT nicoldesign ForeverUnitedFU NormFarrell HaroldSteves The costs of ClimateChange essential work of restoration and regenerat…,"['rt', 'nicoldesign', 'foreverunitedfu', 'normfarrell', 'haroldsteves', 'the', 'costs', 'of', 'climatechange', 'essential', 'work', 'of', 'restoration', 'and', 'regenerat', '']","['rt', 'nicoldesign', 'foreverunitedfu', 'normfarrell', 'haroldsteves', 'costs', 'climatechange', 'essential', 'work', 'restoration', 'regenerat', '']","['rt', 'nicoldesign', 'foreverunitedfu', 'normfarrel', 'haroldstev', 'cost', 'climatechang', 'essenti', 'work', 'restor', 'regenerat', '']","['rt', 'nicoldesign', 'foreverunitedfu', 'normfarrell', 'haroldsteves', 'cost', 'climatechange', 'essential', 'work', 'restoration', 'regenerat', '']"
6,"Mother Nature finds ways to restore balance, which is the way of things, but you can’t help but notice that it’s getting harder for her to do that. #hurricanefiona #storm #opinion #climatechange https://t.co/dBUaOFNS9I",Mother Nature finds ways to restore balance which is the way of things but you can’t help but notice that it’s getting harder for her to do that hurricanefiona storm opinion climatechange httpstcodBUaOFNSI,"['mother', 'nature', 'finds', 'ways', 'to', 'restore', 'balance', 'which', 'is', 'the', 'way', 'of', 'things', 'but', 'you', 'can', 't', 'help', 'but', 'notice', 'that', 'it', 's', 'getting', 'harder', 'for', 'her', 'to', 'do', 'that', 'hurricanefiona', 'storm', 'opinion', 'climatechange', 'httpstcodbuaofnsi']","['mother', 'nature', 'finds', 'ways', 'restore', 'balance', 'way', 'things', 'help', 'notice', 'getting', 'harder', 'hurricanefiona', 'storm', 'opinion', 'climatechange', 'httpstcodbuaofnsi']","['mother', 'natur', 'find', 'way', 'restor', 'balanc', 'way', 'thing', 'help', 'notic', 'get', 'harder', 'hurricanefiona', 'storm', 'opinion', 'climatechang', 'httpstcodbuaofnsi']","['mother', 'nature', 'find', 'way', 'restore', 'balance', 'way', 'thing', 'help', 'notice', 'getting', 'harder', 'hurricanefiona', 'storm', 'opinion', 'climatechange', 'httpstcodbuaofnsi']"
7,"RT @JhessetEnano: Heartbreaking video from a farmer in Nueva Ecija, showing the rice paddies that they had worked hard on for months, befor…",RT JhessetEnano Heartbreaking video from a farmer in Nueva Ecija showing the rice paddies that they had worked hard on for months befor…,"['rt', 'jhessetenano', 'heartbreaking', 'video', 'from', 'a', 'farmer', 'in', 'nueva', 'ecija', 'showing', 'the', 'rice', 'paddies', 'that', 'they', 'had', 'worked', 'hard', 'on', 'for', 'months', 'befor', '']","['rt', 'jhessetenano', 'heartbreaking', 'video', 'farmer', 'nueva', 'ecija', 'showing', 'rice', 'paddies', 'worked', 'hard', 'months', 'befor', '']","['rt', 'jhessetenano', 'heartbreak', 'video', 'farmer', 'nueva', 'ecija', 'show', 'rice', 'paddi', 'work', 'hard', 'month', 'befor', '']","['rt', 'jhessetenano', 'heartbreaking', 'video', 'farmer', 'nueva', 'ecija', 'showing', 'rice', 'paddy', 'worked', 'hard', 'month', 'befor', '']"
8,"RT @JhessetEnano: Heartbreaking video from a farmer in Nueva Ecija, showing the rice paddies that they had worked hard on for months, befor…",RT JhessetEnano Heartbreaking video from a farmer in Nueva Ecija showing the rice paddies that they had worked hard on for months befor…,"['rt', 'jhessetenano', 'heartbreaking', 'video', 'from', 'a', 'farmer', 'in', 'nueva', 'ecija', 'showing', 'the', 'rice', 'paddies', 'that', 'they', 'had', 'worked', 'hard', 'on', 'for', 'months', 'befor', '']","['rt', 'jhessetenano', 'heartbreaking', 'video', 'farmer', 'nueva', 'ecija', 'showing', 'rice', 'paddies', 'worked', 'hard', 'months', 'befor', '']","['rt', 'jhessetenano', 'heartbreak', 'video', 'farmer', 'nueva', 'ecija', 'show', 'rice', 'paddi', 'work', 'hard', 'month', 'befor', '']","['rt', 'jhessetenano', 'heartbreaking', 'video', 'farmer', 'nueva', 'ecija', 'showing', 'rice', 'paddy', 'worked', 'hard', 'month', 'befor', '']"
9,"RT @EmaanzT: Whales are secret weapon to fight against #Climatechange
More #Whales means more #phytoplankton 
They absorb tons of #Carbondi…","RT EmaanzT Whales are secret weapon to fight against Climatechange
More Whales means more phytoplankton 
They absorb tons of Carbondi…","['rt', 'emaanzt', 'whales', 'are', 'secret', 'weapon', 'to', 'fight', 'against', 'climatechange', 'more', 'whales', 'means', 'more', 'phytoplankton', 'they', 'absorb', 'tons', 'of', 'carbondi', '']","['rt', 'emaanzt', 'whales', 'secret', 'weapon', 'fight', 'climatechange', 'whales', 'means', 'phytoplankton', 'absorb', 'tons', 'carbondi', '']","['rt', 'emaanzt', 'whale', 'secret', 'weapon', 'fight', 'climatechang', 'whale', 'mean', 'phytoplankton', 'absorb', 'ton', 'carbondi', '']","['rt', 'emaanzt', 'whale', 'secret', 'weapon', 'fight', 'climatechange', 'whale', 'mean', 'phytoplankton', 'absorb', 'ton', 'carbondi', '']"
